year,month,ym,mei
2015,1,1/15/15,0.2
2015,2,2/15/15,0.1
2015,3,3/15/15,0.1
2015,4,4/15/15,0.4
2015,5,5/15/15,1
2015,6,6/15/15,1.9
2015,7,7/15/15,1.7
2015,8,8/15/15,1.9
2015,9,9/15/15,2.2
2015,10,10/15/15,2.1
2015,11,11/15/15,1.9
2015,12,12/15/15,1.9
2016,1,1/15/16,1.9
2016,2,2/15/16,1.8
2016,3,3/15/16,1.3
2016,4,4/15/16,1.3
2016,5,5/15/16,1.3
2016,6,6/15/16,0.4
2016,7,7/15/16,-0.5
2016,8,8/15/16,-0.3
2016,9,9/15/16,-0.3
2016,10,10/15/16,-0.6
2016,11,11/15/16,-0.5
2016,12,12/15/16,-0.3
2017,1,1/15/17,-0.4
2017,2,2/15/17,-0.4
2017,3,3/15/17,-0.6
2017,4,4/15/17,-0.2
2017,5,5/15/17,0.2
2017,6,6/15/17,-0.3
2017,7,7/15/17,-0.7
2017,8,8/15/17,-0.8
2017,9,9/15/17,-0.8
2017,10,10/15/17,-0.6
2017,11,11/15/17,-0.6
2017,12,12/15/17,-0.7
2018,1,1/15/18,-0.8
2018,2,2/15/18,-0.7
2018,3,3/15/18,-0.8
2018,4,4/15/18,-1.3
2018,5,5/15/18,-0.9
2018,6,6/15/18,-0.5
2018,7,7/15/18,-0.2
2018,8,8/15/18,0.4
2018,9,9/15/18,0.5
2018,10,10/15/18,0.4
2018,11,11/15/18,0.3
2018,12,12/15/18,0.1
2019,1,1/15/19,0.1
2019,2,2/15/19,0.5
2019,3,3/15/19,0.8
2019,4,4/15/19,0.3
2019,5,5/15/19,0.3
2019,6,6/15/19,0.4
2019,7,7/15/19,0.2
2019,8,8/15/19,0.3
2019,9,9/15/19,0.2
2019,10,10/15/19,0.3
2019,11,11/15/19,0.5
2019,12,12/15/19,0.4
2020,1,1/15/20,0.3
2020,2,2/15/20,0.3
2020,3,3/15/20,0.2
2020,4,4/15/20,-0.1
2020,5,5/15/20,-0.2
2020,6,6/15/20,-0.7
2020,7,7/15/20,-1
2020,8,8/15/20,-1
2020,9,9/15/20,-1.2
2020,10,10/15/20,-1.2
2020,11,11/15/20,-1.1
2020,12,12/15/20,-1.2
2021,1,1/15/21,-1.2
2021,2,2/15/21,-0.9
2021,3,3/15/21,-0.8
2021,4,4/15/21,-1
2021,5,5/15/21,-1.1
2021,6,6/15/21,-1.1
2021,7,7/15/21,-1.5
2021,8,8/15/21,-1.3
2021,9,9/15/21,-1.4
2021,10,10/15/21,-1.5
2021,11,11/15/21,-1.4
2021,12,12/15/21,-1.2
2022,1,1/15/22,-1
2022,2,2/15/22,-1
2022,3,3/15/22,-1.3
2022,4,4/15/22,-1.6
2022,5,5/15/22,-1.7
2022,6,6/15/22,-1.9
2022,7,7/15/22,-2.2
2022,8,8/15/22,-1.8
2022,9,9/15/22,-1.8
2022,10,10/15/22,-1.7
2022,11,11/15/22,-1.5
2022,12,12/15/22,-1.3